id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2265,Zen-East in the Heart of Austin (monthly rental),2466,Paddy,,78702,30.27752,-97.71377,Entire home/apt,200,7,26,2021-07-02,0.38,3,51
5245,"Eco friendly, Colorful, Clean, Cozy monthly share",2466,Paddy,,78702,30.27614,-97.7132,Private room,114,30,9,2017-02-24,0.22,3,0
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,126,2,560,2021-06-21,27.27,1,329
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,39,1,264,2021-07-03,6.42,1,30
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,104,30,117,2021-04-02,1.31,1,0
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,149,3,245,2021-05-21,2.04,1,145
21126,Quiet Mid Century Modern Retreat with Patio and Yard,80406,Dani,,78704,30.24417,-97.73988,Entire home/apt,202,1,123,2021-06-12,2.12,12,99
22166,Close in Hill country views NW,84906,Stacey,,78759,30.38794,-97.76358,Entire home/apt,153,30,11,2021-01-10,0.08,1,225
22828,Garage Apartment near S Congress,56488,David,,78741,30.23614,-97.73225,Entire home/apt,58,31,42,2021-06-01,0.32,1,207
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,350,2,32,2021-04-18,0.30,1,249
47572,Cozy Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37783,-97.70749,Private room,34,30,5,2021-03-28,0.18,1,195
50318,Scooby Doo House,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,117,30,30,2019-10-15,0.50,2,365
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,100,1,777,2021-07-02,21.39,2,223
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,156,2,128,2021-06-25,4.29,2,233
69352,Enchanting Zilker Cottage~Downtown,347068,Particular Properties,,78704,30.25811,-97.76368,Entire home/apt,299,2,390,2018-05-24,3.13,2,232
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,119,2,441,2020-03-14,9.33,1,0
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23644,-97.76611,Entire home/apt,295,2,35,2021-06-22,0.76,1,89
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,150,2,151,2021-07-05,2.34,1,71
72833,"Private Cottage in Central, Quiet Neighborhood",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,97,3,367,2021-06-28,8.80,1,76
72876,10 Minutes to Apple and eBay,379080,Becky,,78729,30.44755,-97.76115,Private room,49,99,17,2020-03-15,0.90,1,0
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,280,2,33,2021-06-20,0.74,1,299
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,98,30,52,2021-06-24,0.48,2,215
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,96,2,224,2021-05-16,2.50,1,312
75957,Charming 1 Bedroom Cottage Apt In Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,121,2,346,2021-07-06,6.17,1,313
76497,Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,177441,Ash,,78703,30.27678,-97.75805,Entire home/apt,177,2,224,2021-06-17,1.90,2,344
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,101,2,184,2021-07-01,2.30,1,284
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,553,2,147,2021-06-20,2.92,1,257
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,400,2,16,2019-05-27,0.14,1,0
76996,The Travis Heights Tree House,1665428,Krista,,78704,30.23872,-97.74521,Entire home/apt,81,20,44,2021-05-22,0.36,1,216
77347,Room or rooms,382265,Leslie,,78733,30.33877,-97.882,Private room,104,2,0,,,1,221
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,179,2,32,2021-06-28,0.39,1,309
77998,Gorgeous Greenbelt Home - *River Access*,419006,Jordan,,78725,30.26021,-97.66994,Entire home/apt,300,4,15,2021-06-13,2.41,1,285
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,750,4,90,2020-04-23,2.61,1,0
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,240,1,6,2019-05-26,0.05,3,0
78422,Living the Dream on Richardine (East Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,75,7,3,2021-05-01,0.02,1,11
78831,Cool Hyde Park efficiency apartment,423840,Marcus,,78751,30.31106,-97.72373,Entire home/apt,109,2,341,2021-01-02,2.71,1,28
78884,Beautiful Zilker Park Condo next to Downtown!,2157243,Sean,,78704,30.26126,-97.77358,Entire home/apt,106,2,149,2021-06-27,1.29,8,194
79100,Bungalow-Pool-Central East-51st Area,425706,Robert,,78723,30.30933,-97.6952,Entire home/apt,116,30,26,2021-05-31,0.26,4,122
79603,Beautiful Bouldin Cottage - 78704,428883,Beau,,78704,30.24948,-97.75896,Entire home/apt,156,2,98,2021-06-13,0.79,1,219
79768,East-Side Bungalow,430091,Shawn,,78702,30.26035,-97.73253,Entire home/apt,225,4,34,2019-03-11,0.41,2,0
80725,Central Austin Home,436771,Merlyn,,78703,30.28251,-97.76874,Entire home/apt,150,30,0,,,1,0
82033,"Clean and quiet 3/2, in Mueller area.",445746,Kimberly,,78723,30.30393,-97.68872,Entire home/apt,400,2,4,2018-04-28,2.93,1,179
83643,Fun Central Austin Convenience,456230,Michele,,78752,30.32395,-97.71851,Private room,52,2,196,2021-07-06,3.91,1,340
84771,Campus Retreat,321037,Lucien,,78705,30.29386,-97.74188,Entire home/apt,81,2,16,2018-01-03,0.37,2,0
89475,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",487072,Greg & Amanda,,78757,30.35681,-97.72618,Entire home/apt,329,30,116,2020-04-11,2.92,13,0
90898,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",236847,Lester,,78704,30.24498,-97.74935,Entire home/apt,161,1,90,2021-05-30,1.39,1,350
104386,South Austin Cottage 78704 - 2BR,543367,Mary,,78704,30.24645,-97.74701,Entire home/apt,150,31,132,2021-07-01,1.72,2,291
109005,15-20 min walk to ACL-Zilker; 2.3 mile to Congress,552705,"Amanda (Marz, Nickname)",,78703,30.28267,-97.76862,Private room,102,3,14,2021-07-05,0.22,2,42
113779,Spacious 1BR w/ Office in Hyde Park,578211,Pete,,78751,30.3027,-97.72945,Entire home/apt,126,20,85,2021-06-13,0.75,9,295
113791,Avenue G Guesthouse in Hyde Park,578249,Larry And Susan,,78751,30.30244,-97.73148,Private room,60,30,12,2018-06-22,0.24,2,189
116014,SXSW LAST MINUTE Downtown Space,419707,Julia,,78701,30.27521,-97.74793,Entire home/apt,259,1,2,2019-04-14,0.02,3,0
128326,Austin City Limits-Private Pool by Nature Preserve,634580,Morrie And Rachel,,78736,30.24395,-98.00244,Entire home/apt,295,3,55,2021-06-09,0.96,1,291
140474,Historic Hyde Park Home By Downtown,578211,Pete,,78751,30.30215,-97.73046,Entire home/apt,142,20,77,2021-06-26,0.83,9,297
140504,1915 Home w/1BR With Modern Flare,578211,Pete,,78751,30.30397,-97.73037,Entire home/apt,131,20,78,2021-07-07,0.67,9,282
145210,Maiden Lane Guesthouse,475506,Dan,,78705,30.30203,-97.74235,Entire home/apt,99,30,199,2021-05-21,1.96,1,266
155359,TheTramHouse-90 Day Min,372205,Keith,,78732,30.41813,-97.88915,Entire home/apt,99,90,33,2018-11-18,0.40,4,187
158398,Barton Hills oasis! Bike/scooter to Zilker Park!,760426,Lis,,78704,30.25288,-97.78491,Entire home/apt,592,4,13,2021-06-03,0.25,1,293
166561,SOCO ItZ bitZ Bungalow,347068,Particular Properties,,78704,30.2415,-97.76194,Entire home/apt,299,30,363,2019-10-28,3.08,2,14
167459,SXSW and ACL 4 bedroom in Austin!,628942,Marnie,,78746,30.27767,-97.79126,Entire home/apt,800,3,7,2014-03-12,0.07,1,344
172104,South Austin- close to the action!,746286,Isabel,,78745,30.1947,-97.8218,Entire home/apt,75,3,3,2016-10-10,0.04,1,209
174828,Light and Airy Central Austin Retreat with Gorgeous Patio,835236,Jenny,,78752,30.33238,-97.71233,Entire home/apt,375,3,325,2021-05-03,6.02,1,60
184853,78704  Austin Getaway Two Bedroom monthly rental.,518748,Rachel,,78704,30.24106,-97.77315,Entire home/apt,150,30,2,2021-04-29,0.07,1,221
195674,"Large Zilker Home, Downtown- SOCO-ACL!",951551,Lori,,78704,30.25775,-97.76703,Entire home/apt,750,2,32,2021-06-27,0.96,1,330
202187,South Congress Studio Apartment,989596,John,,78704,30.24867,-97.74678,Entire home/apt,89,1,797,2021-06-23,15.55,2,273
202753,Parkside Loft - Large Bedroom & Sitting Area.,729047,Tracy,,78703,30.27655,-97.75608,Private room,175,3,10,2019-05-08,0.30,1,35
207054,Keep Austin Lovely in 2BR/1Ba Mid-Century Home!,1018853,Merri Gale & Donald,,78741,30.24434,-97.73069,Entire home/apt,168,3,152,2021-06-26,1.31,1,79
208897,"Heart of east Austin–unique, bright, private haven",1029071,Suzanne,,78702,30.263203,-97.699829,Entire home/apt,269,3,94,2021-05-31,1.05,1,86
214795,Cute Condo Close to Zilker & Dwntwn,1109019,Kristi,,78704,30.25175,-97.77242,Entire home/apt,75,2,72,2021-07-04,0.63,1,201
218402,New to Austin?  Perfect WFH Suite!,1129520,Paulette,,78754,30.36145256116355,-97.64397447281615,Private room,28,30,24,2021-04-01,0.23,1,305
219168,SOCO Living,1134580,Kalu,,78704,30.24519,-97.74486,Entire home/apt,250,2,8,2016-10-09,0.07,1,0
221348,Studio Monthly Sublet Overlooking Downtown Austin,1148288,Graham,,78741,30.24392,-97.73344,Entire home/apt,40,30,138,2019-02-17,3.63,2,177
221353,Eclectic house with yard close to Downtown Austin,1148288,Graham,,78741,30.24243,-97.73541,Entire home/apt,90,31,25,2021-05-17,0.36,2,56
222967,Luxe Spa Bungalow - Walk Downtown!,1157982,Lyon,,78702,30.25901,-97.7295,Entire home/apt,185,4,32,2021-06-29,0.31,3,329
222986,Circa 1899 Luxe Spa House - Walk DT,1157982,Lyon,,78702,30.25753,-97.7313,Entire home/apt,500,20,53,2017-10-01,0.47,3,329
224603,Modern Studio Loft,1169129,David And Kristy,,78751,30.30732,-97.72782,Entire home/apt,105,28,109,2021-05-16,1.69,1,220
227372,The Iconic Allen's Boots Clubhouse!,51183342,Hunter,,78704,30.24822,-97.75095,Entire home/apt,315,1,212,2021-07-05,2.99,5,9
233930,The Treehouse 1930's Hyde Park Home,578211,Pete,,78751,30.30289,-97.72961,Entire home/apt,165,20,81,2021-06-05,1.53,9,285
237705,Remodeled Bungalow Downtown Eastside!,1246229,Elizabeth,,78702,30.25398,-97.72407,Entire home/apt,135,1,51,2020-02-23,1.20,3,0
238657,Hill House in Wonderful Bouldin!,1250939,Kerry,,78704,30.252,-97.75628,Entire home/apt,164,2,120,2021-06-11,1.79,4,154
240541,Stay in the Birdhouse! East/Downtow,1246229,Elizabeth,,78702,30.25424,-97.72587,Entire home/apt,38,1,566,2021-07-02,18.32,3,16
247770,Lovely House In Hip East Austin,1298575,Gloria,,78723,30.30339,-97.68465,Entire home/apt,175,2,1,2012-03-13,0.01,1,0
248515,Cute Eastside Bungalow -  Perfect Austin Base,1208485,Caitlin,,78702,30.25572,-97.72874,Entire home/apt,186,2,103,2021-06-30,0.91,2,68
252804,"» 3 bed, sleeps 5, 2 miles to DT",1327500,Brooks,,78704,30.23254,-97.75479,Entire home/apt,100,30,92,2015-10-26,0.78,1,129
271052,Updated Remodel Clean & Comfy South Austin Condo!,1418696,Kelsey,,78704,30.25367,-97.77253,Entire home/apt,250,3,26,2021-02-21,0.23,1,338
277028,One of a kind stay In the Heart of ATX,746455,Michael,,78703,30.28332,-97.76272,Entire home/apt,406,1,80,2021-06-28,1.41,4,221
281182,Great House 1 block from Metro Rail SXSW,1465788,Michelle,,78702,30.28032,-97.70708,Entire home/apt,350,3,38,2021-06-05,0.83,1,328
294708,3bd+Loft...SOCO Area Convenience,1523587,Dallas,,78704,30.23062,-97.74564,Entire home/apt,201,3,265,2021-06-23,3.38,19,276
295275,Stylish 3/2/2 with large backyard,1282837,Joseph,,78745,30.19037,-97.79003,Entire home/apt,191,30,58,2021-04-03,0.57,2,254
300574,Historic SOUTHAustin Retro Groovy LOFT 78704 proud,167892,Veronica,,78704,30.25525,-97.75756,Entire home/apt,138,2,359,2021-06-28,9.33,1,112
304808,Spanish Hacienda mile from downtown,1566930,Chris,,78702,30.2733,-97.7269,Private room,60,2,269,2021-06-15,4.16,1,315
304866,Big cute clean Casita in SxSAustin!,1568741,Jim O',,78745,30.20943,-97.77117,Entire home/apt,71,3,132,2021-07-05,1.17,8,342
305392,Family-/pet-friendly * Eastside * Walk everywhere!,117233,Paige,,78702,30.25688,-97.73244,Entire home/apt,475,3,9,2019-03-12,0.12,1,12
314152,2 bdrm Condo at  360 Bridge,1614097,Denise,,78730,30.35672,-97.79621,Entire home/apt,350,4,0,,,1,0
315239,Very convenient for SxSW,1617870,John,,78745,30.21467,-97.77901,Entire home/apt,600,3,2,2013-03-22,0.02,1,362
316630,"Hip, convenient home in 78704!",1626165,Gretchen,,78704,30.25472,-97.75562,Entire home/apt,400,3,9,2015-03-24,0.08,1,0
319759,█ Swanky Townhome+Rooftop | Downtown | 6th Street!,814883,Kristen,,78702,30.26585,-97.73328,Entire home/apt,593,1,247,2021-06-08,2.18,12,300
319887,Quaint East Austin 2BR SXSW 2016,1640158,Jeremy,,78702,30.25328,-97.72968,Entire home/apt,694,4,2,2015-03-18,0.02,1,0
319894,The Perfect Austin Modern Home,1640172,Gary,,78724,30.28354,-97.64966,Entire home/apt,181,2,125,2021-06-27,1.10,2,130
321069,Avail ACL: 3/2 Mid-Century Mod-Central Austin,1644741,Liz,,78704,30.25398,-97.77856,Entire home/apt,679,2,1,2018-06-23,0.03,1,0
321675,3/2 House w/ Pool in Barton Hills,1142525,James,,78704,30.25104,-97.78973,Entire home/apt,500,1,13,2015-10-04,0.14,1,0
322834,Spacious 3/2 East Austin Home,3797734,Leslie And Dylan,,78702,30.26849,-97.71874,Entire home/apt,240,4,47,2018-03-25,0.81,1,0
323733,4th St Loft in Downtown Austin!,1654178,Erik,,78701,30.26843,-97.74548,Entire home/apt,178,1,362,2019-10-25,10.36,1,0
324480,Charming Central Austin Apartment,1660476,Mark,,78705,30.29905,-97.73881,Entire home/apt,82,30,0,,,2,313
325889,"Dream Location, Creative 5-Bedroom House w Jacuzzi",1666874,Abbie & Brian,,78704,30.24583,-97.75472,Entire home/apt,999,3,42,2021-06-27,1.92,1,300
326172,Central Austin Spacious  Guest House with balcony,1665442,Lionel & Beth,,78756,30.32619,-97.74457,Entire home/apt,66,10,12,2021-06-22,0.11,1,211
329172,"Hillside designer home,10 min.dwntn",1680871,Janet,,78746,30.30085,-97.80794,Entire home/apt,495,3,6,2016-06-05,0.06,1,252
329306,"Urban Homestead, 5 minutes to downtown",880571,Angel,,78702,30.27232,-97.72579,Private room,68,2,503,2021-06-22,6.52,5,283
330301,Entire Upstairs Near Apple & Domain,1685125,Janet,,78729,30.44934,-97.76359,Private room,111,2,20,2021-06-28,1.03,1,359
331549,One Room with Private Bathroom,1690383,Sandra,,78725,30.23911,-97.58625,Private room,100,2,0,,,1,0
333114,House for rent in  North Austin,1697428,Ashly,,78754,30.37019,-97.65419,Private room,109,1,0,,,1,0
333442,RARE SECLUDED 1940s ESTATE  Safe Cleaning Protocol,1698318,Virginia,,78703,30.31267,-97.76641,Entire home/apt,276,3,137,2021-06-28,1.37,1,258
333815,Solar Sanctuary - Zen Room,372962,Kim,,78704,30.25381,-97.75262,Private room,102,2,145,2020-03-14,1.42,1,271
334616,Great SXSW East Central Apartment,608539,D,,78741,30.24481,-97.72379,Entire home/apt,250,1,2,2012-03-14,0.02,1,0
335885,"4Bed/2Bath Sleeps 12+ w Pool, Sauna, Gym & Games",1707903,Stephen,,78749,30.20621,-97.85577,Entire home/apt,1750,2,43,2021-07-05,1.90,2,0
337125,"1800 Sq ft, 3-2 home in NW Austin",261883,Carolyn,,78759,30.42035,-97.76685,Private room,80,32,33,2015-10-06,0.37,1,83
340045,Greenbelt Professional Loft,1725752,Shanti,,78746,30.25937,-97.79249,Entire home/apt,400,4,0,,,1,365
340630,2 Bedroom duplex for monthly rental,531267,Shelley,,78757,30.33061,-97.72531,Entire home/apt,50,30,18,2021-05-13,0.65,4,12
341382,SXSW | 4 bedroom home near Downtown,1205884,Luke And Rachel,,78702,30.26543,-97.71338,Entire home/apt,750,4,124,2019-03-11,1.47,1,0
341596,South Austin Ultra Modern,1733004,Julie,,78704,30.24623,-97.75904,Private room,110,2,68,2020-02-23,0.67,1,238
342039,"Garden Guesthouse, central East Austin gem.",1735494,Steph And Crew,,78702,30.25158,-97.73147,Entire home/apt,150,1,294,2021-06-24,2.91,2,143
